seq,mean,cvar05,cvar25,distorted_ordered,prob_catastrophic,prob_degraded,prob_shortage,feasible,losses_json,probs_json
sample_r1|check_r1|move|sample_r2|check_r1,300.0,1040.0,1040.0,183.16741506210923,0.25,0.25,0.0,True,"[80.0, 80.0, 0.0, 1040.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r1|move|sample_r2|check_r2,300.0,1040.0,1040.0,183.16741506210923,0.25,0.25,0.0,True,"[80.0, 80.0, 0.0, 1040.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r1|move|sample_r2|sample_r1,482.5,1145.0,1145.0,301.51247474524286,0.5,0.25,0.0,True,"[0.0, 785.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r1|move|sample_r2|sample_r2,482.5,1145.0,1145.0,301.51247474524286,0.5,0.25,0.0,True,"[785.0, 0.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r1|move|sample_r2|move,296.25,1035.0,1035.0,180.49999754095126,0.25,0.25,0.0,True,"[75.0, 75.0, 0.0, 1035.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r1|move|move|check_r1,165.0,330.0,330.0,104.60335763552476,0.0,0.5,0.0,True,"[0.0, 330.0, 0.0, 330.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r1|move|move|check_r2,165.0,330.0,330.0,104.60335763552476,0.0,0.5,0.0,True,"[0.0, 330.0, 0.0, 330.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r1|move|move|sample_r1,517.5,1035.0,1035.0,328.07416712960037,0.5,0.5,0.0,True,"[0.0, 1035.0, 0.0, 1035.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r1|move|move|sample_r2,296.25,1035.0,1035.0,180.49999754095126,0.25,0.25,0.0,True,"[75.0, 75.0, 0.0, 1035.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r1|move|move|move,162.5,325.0,325.0,103.01845827741073,0.0,0.5,0.0,True,"[0.0, 325.0, 0.0, 325.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|check_r1|check_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|check_r1|check_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|check_r1|sample_r1,567.5,1135.0,1135.0,359.7721542918806,0.5,0.5,0.5,True,"[0.0, 1135.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|check_r1|sample_r2,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|check_r1|move,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[0.0, 335.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|check_r2|check_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|check_r2|check_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|check_r2|sample_r1,567.5,1135.0,1135.0,359.7721542918806,0.5,0.5,0.5,True,"[0.0, 1135.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|check_r2|sample_r2,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|check_r2|move,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[0.0, 335.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|sample_r1|check_r1,567.5,1135.0,1135.0,359.7721542918806,0.5,0.5,0.5,True,"[0.0, 1135.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|sample_r1|check_r2,567.5,1135.0,1135.0,359.7721542918806,0.5,0.5,0.5,True,"[0.0, 1135.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|sample_r1|sample_r1,620.0,1240.0,1240.0,393.0550408122748,0.5,0.5,0.5,True,"[0.0, 1240.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|sample_r1|sample_r2,530.0,1240.0,1240.0,331.6255625494091,0.5,0.25,0.5,True,"[0.0, 880.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|sample_r1|move,520.0,1040.0,1040.0,329.65906648771437,0.5,0.5,0.0,True,"[0.0, 1040.0, 0.0, 1040.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|sample_r2|check_r1,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|sample_r2|check_r2,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|sample_r2|sample_r1,530.0,1240.0,1240.0,331.6255625494091,0.5,0.25,0.5,True,"[0.0, 880.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|sample_r2|sample_r2,530.0,1240.0,1240.0,331.6255625494091,0.5,0.25,0.5,True,"[880.0, 0.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|sample_r2|move,300.0,1040.0,1040.0,183.16741506210923,0.25,0.25,0.0,True,"[80.0, 80.0, 0.0, 1040.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|move|check_r1,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[0.0, 335.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|move|check_r2,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[0.0, 335.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|move|sample_r1,520.0,1040.0,1040.0,329.65906648771437,0.5,0.5,0.0,True,"[0.0, 1040.0, 0.0, 1040.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|move|sample_r2,300.0,1040.0,1040.0,183.16741506210923,0.25,0.25,0.0,True,"[80.0, 80.0, 0.0, 1040.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r1|move|move,165.0,330.0,330.0,104.60335763552476,0.0,0.5,0.0,True,"[0.0, 330.0, 0.0, 330.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|check_r1|check_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|check_r1|check_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|check_r1|sample_r1,567.5,1135.0,1135.0,359.7721542918806,0.5,0.5,0.5,True,"[0.0, 1135.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|check_r1|sample_r2,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|check_r1|move,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[0.0, 335.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|check_r2|check_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|check_r2|check_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|check_r2|sample_r1,567.5,1135.0,1135.0,359.7721542918806,0.5,0.5,0.5,True,"[0.0, 1135.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|check_r2|sample_r2,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|check_r2|move,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[0.0, 335.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|sample_r1|check_r1,567.5,1135.0,1135.0,359.7721542918806,0.5,0.5,0.5,True,"[0.0, 1135.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|sample_r1|check_r2,567.5,1135.0,1135.0,359.7721542918806,0.5,0.5,0.5,True,"[0.0, 1135.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|sample_r1|sample_r1,620.0,1240.0,1240.0,393.0550408122748,0.5,0.5,0.5,True,"[0.0, 1240.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|sample_r1|sample_r2,530.0,1240.0,1240.0,331.6255625494091,0.5,0.25,0.5,True,"[0.0, 880.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|sample_r1|move,520.0,1040.0,1040.0,329.65906648771437,0.5,0.5,0.0,True,"[0.0, 1040.0, 0.0, 1040.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|sample_r2|check_r1,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|check_r2|check_r2|sample_r2|check_r2,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
